antena,latitud,longitud,fuente
10006,26.283,-106.01100000000001,EMAS
10016,25.01,-105.212,EMAS
10023,23.964000000000002,-104.735,EMAS
10030,24.445999999999998,-104.12200000000001,EMAS
1004,22.000999999999998,-102.199,EMAS
10040,23.504,-104.824,EMAS
10045,25.831999999999997,-103.84700000000001,EMAS
10047,23.941999999999997,-103.96,EMAS
10048,23.834,-105.042,EMAS
10049,25.23,-104.10700000000001,EMAS
1005,21.781,-102.37200000000001,EMAS
10051,24.054000000000002,-105.009,EMAS
10054,24.205,-104.65799999999999,EMAS
10057,23.625,-104.056,EMAS
10066,23.807,-104.266,EMAS
10072,25.566999999999997,-104.292,EMAS
10076,23.899,-104.604,EMAS
1008,22.203000000000003,-102.135,EMAS
10080,24.688000000000002,-103.226,EMAS
10083,24.808000000000003,-105.134,EMAS
10088,23.738000000000003,-103.98,EMAS
10090,24.518,-104.78299999999999,EMAS
10099,24.631,-102.78299999999999,EMAS
1010,22.164,-102.554,EMAS
10103,23.822,-104.926,EMAS
10108,25.546,-103.522,EMAS
1011,21.86,-102.664,EMAS
1012,21.794,-102.802,EMAS
10121,24.989,-105.89200000000001,EMAS
10122,24.894000000000002,-106.12100000000001,EMAS
10128,26.248,-104.919,EMAS
10129,24.976999999999997,-104.76899999999999,EMAS
1013,22.313000000000002,-102.166,EMAS
10131,24.793000000000003,-104.038,EMAS
10132,25.42,-104.28,EMAS
10137,24.807,-104.92200000000001,EMAS
10138,26.004,-105.527,EMAS
10140,25.879,-104.163,EMAS
10141,26.526,-105.37299999999999,EMAS
10142,25.548000000000002,-104.584,EMAS
10149,25.5,-105.25,EMAS
1015,21.916,-101.969,EMAS
1017,22.233,-102.444,EMAS
1018,22.141,-102.415,EMAS
1019,22.128,-102.359,EMAS
1020,21.997,-102.67399999999999,EMAS
1021,22.123,-102.51100000000001,EMAS
1022,21.748,-102.17,EMAS
1023,21.837,-102.712,EMAS
1024,21.779,-102.104,EMAS
1026,22.224,-102.169,EMAS
1027,21.877,-102.463,EMAS
1028,22.101,-102.068,EMAS
1029,22.24,-102.089,EMAS
1030,21.896,-102.309,EMAS
1031,22.019000000000002,-101.999,EMAS
1032,22.039,-101.89299999999999,EMAS
1033,21.898000000000003,-101.993,EMAS
1034,21.885,-102.109,EMAS
1045,22.083000000000002,-102.09100000000001,EMAS
1046,21.964000000000002,-102.697,EMAS
1047,21.974,-102.584,EMAS
1062,21.802,-102.273,EMAS
1073,21.809,-102.13,EMAS
1074,21.730999999999998,-102.45299999999999,EMAS
1075,21.756999999999998,-102.302,EMAS
1076,21.871,-102.34899999999999,EMAS
1077,21.783,-102.51799999999999,EMAS
1078,21.89,-102.833,EMAS
1079,21.726,-102.272,EMAS
1080,21.838,-102.522,EMAS
1081,22.088,-101.96700000000001,EMAS
1082,22.230999999999998,-102.315,EMAS
1083,22.079,-102.273,EMAS
1084,22.208000000000002,-102.022,EMAS
1085,22.090999999999998,-102.181,EMAS
1088,22.363000000000003,-102.29700000000001,EMAS
1089,22.189,-102.464,EMAS
1090,21.962,-102.351,EMAS
1091,21.741999999999997,-102.71700000000001,EMAS
11001,20.447,-101.536,EMAS
11002,20.033,-100.712,EMAS
11003,20.51,-101.62899999999999,EMAS
11004,20.816999999999997,-101.319,EMAS
11005,20.544,-100.686,EMAS
11006,20.455,-100.62100000000001,EMAS
11007,20.991999999999997,-101.227,EMAS
11009,20.535999999999998,-100.81700000000001,EMAS
11011,20.958000000000002,-100.89299999999999,EMAS
11013,20.488000000000003,-100.963,EMAS
11014,20.625999999999998,-101.676,EMAS
11015,21.139,-100.331,EMAS
11020,21.173000000000002,-101.696,EMAS
11021,20.281,-101.006,EMAS
11022,20.37,-100.555,EMAS
11025,21.230999999999998,-101.705,EMAS
11028,20.668000000000003,-101.337,EMAS
11031,20.143,-100.51899999999999,EMAS
11033,20.848000000000003,-100.82600000000001,EMAS
11035,20.921,-101.698,EMAS
11036,20.675,-101.844,EMAS
11040,21.195,-101.66799999999999,EMAS
11041,20.676,-101.149,EMAS
11045,21.333000000000002,-101.639,EMAS
11048,20.708000000000002,-100.836,EMAS
11049,21.211,-101.426,EMAS
11050,21.65,-101.48,EMAS
11051,21.108,-100.87799999999999,EMAS
11052,20.522,-101.118,EMAS
11055,21.079,-101.87100000000001,EMAS
11060,20.921999999999997,-101.046,EMAS
11061,21.469,-101.219,EMAS
11063,21.514,-101.539,EMAS
11066,21.296,-100.514,EMAS
11070,21.072,-101.196,EMAS
11071,20.943,-101.43,EMAS
11072,20.298,-101.06700000000001,EMAS
11076,20.054000000000002,-100.67299999999999,EMAS
11077,20.305999999999997,-101.78299999999999,EMAS
11078,19.998,-100.512,EMAS
11079,20.383,-101.179,EMAS
11083,21.299,-100.09299999999999,EMAS
11085,20.834,-101.061,EMAS
11094,21.015,-101.266,EMAS
11095,21.136,-101.699,EMAS
11096,21.07,-101.029,EMAS
11099,20.499000000000002,-101.949,EMAS
11103,21.034000000000002,-101.256,EMAS
11107,21.323,-101.10700000000001,EMAS
11116,20.293,-100.555,EMAS
11122,20.763,-100.615,EMAS
11124,20.872,-101.244,EMAS
11134,20.715999999999998,-101.37,EMAS
11137,20.87,-101.295,EMAS
11140,21.269000000000002,-101.13600000000001,EMAS
11141,21.173000000000002,-101.242,EMAS
11142,20.28,-100.9,EMAS
11143,20.51,-101.818,EMAS
11144,20.919,-100.431,EMAS
11145,20.398,-100.88600000000001,EMAS
11146,20.276,-101.359,EMAS
11148,20.668000000000003,-100.60799999999999,EMAS
11149,20.111,-100.72399999999999,EMAS
11150,20.709,-101.262,EMAS
11151,20.305999999999997,-101.78299999999999,EMAS
11153,21.105,-101.552,EMAS
11159,21.049,-101.838,EMAS
11161,21.45,-100.664,EMAS
11165,21.041999999999998,-101.436,EMAS
11166,19.973,-100.45100000000001,EMAS
12001,18.335,-100.073,EMAS
12004,18.338,-99.647,EMAS
12007,18.476,-101.359,EMAS
12009,17.414,-100.60700000000001,EMAS
12015,18.546,-99.645,EMAS
12016,17.042,-100.117,EMAS
12018,18.585,-99.932,EMAS
12019,18.359,-100.664,EMAS
12021,18.313,-101.735,EMAS
12022,16.615,-98.971,EMAS
12023,18.033,-99.041,EMAS
12027,18.017,-101.137,EMAS
12029,16.701,-99.51,EMAS
12046,18.305999999999997,-99.334,EMAS
12048,17.623,-98.51299999999999,EMAS
12052,17.983,-101.884,EMAS
12060,17.778,-98.73,EMAS
12063,18.355999999999998,-100.274,EMAS
12068,16.8,-98.70299999999999,EMAS
12072,16.971,-98.25399999999999,EMAS
12082,18.222,-100.757,EMAS
12083,17.829,-100.38799999999999,EMAS
12084,18.301,-99.87200000000001,EMAS
12086,17.217,-100.11200000000001,EMAS
12090,18.417,-100.46799999999999,EMAS
12091,17.54,-98.59100000000001,EMAS
12094,17.918,-101.35,EMAS
12099,17.133,-100.51899999999999,EMAS
12107,17.085,-99.094,EMAS
12112,16.823,-99.478,EMAS
12114,17.795,-98.564,EMAS
12115,18.303,-99.333,EMAS
12116,18.35,-99.55,EMAS
12117,18.503,-99.792,EMAS
12127,17.644000000000002,-101.551,EMAS
12141,18.248,-100.538,EMAS
12142,16.866,-99.906,EMAS
12147,18.419,-101.006,EMAS
12156,17.25,-99.584,EMAS
12158,17.254,-100.31700000000001,EMAS
12161,17.21,-100.417,EMAS
12164,18.245,-99.662,EMAS
12165,17.538,-101.274,EMAS
12166,18.159000000000002,-100.38799999999999,EMAS
12167,18.551,-99.419,EMAS
12171,18.652,-99.573,EMAS
12174,17.474,-101.214,EMAS
12177,18.134,-99.831,EMAS
12178,17.567,-98.728,EMAS
12183,16.887999999999998,-99.86200000000001,EMAS
12184,18.134,-99.926,EMAS
12191,17.089000000000002,-100.32600000000001,EMAS
12195,17.192,-98.40799999999999,EMAS
12198,17.486,-99.454,EMAS
12199,17.912,-98.48200000000001,EMAS
12200,17.465,-98.51799999999999,EMAS
12205,16.95,-98.656,EMAS
12211,17.748,-100.20299999999999,EMAS
13011,21.154,-98.389,EMAS
13012,20.369,-99.648,EMAS
13013,20.48,-99.22399999999999,EMAS
13018,20.229,-99.215,EMAS
13042,20.641,-98.655,EMAS
13060,20.265,-98.958,EMAS
13061,20.227,-98.449,EMAS
13064,20.289,-99.411,EMAS
13065,20.878,-99.208,EMAS
13068,19.936,-99.28399999999999,EMAS
13069,20.433,-99.149,EMAS
13070,20.664,-99.137,EMAS
13075,19.99,-99.33200000000001,EMAS
13080,20.155,-99.355,EMAS
13081,20.441,-99.374,EMAS
13082,20.055999999999997,-98.334,EMAS
13083,20.309,-99.723,EMAS
13084,19.964000000000002,-99.31200000000001,EMAS
13085,19.854,-98.30799999999999,EMAS
13087,20.641,-98.829,EMAS
13088,20.553,-99.304,EMAS
13089,19.898,-99.337,EMAS
13090,20.19,-99.255,EMAS
13093,20.465999999999998,-98.667,EMAS
13096,20.281,-98.65899999999999,EMAS
13097,20.320999999999998,-99.23200000000001,EMAS
13098,20.219,-98.579,EMAS
13099,20.237000000000002,-98.324,EMAS
13105,20.615,-99.116,EMAS
13111,20.099,-99.12200000000001,EMAS
13116,20.159000000000002,-98.557,EMAS
13121,20.324,-98.738,EMAS
13125,20.38,-99.35,EMAS
14002,20.421,-103.59100000000001,EMAS
14006,21.563000000000002,-102.439,EMAS
14011,19.305999999999997,-104.88799999999999,EMAS
14016,20.395,-103.13600000000001,EMAS
14018,20.01,-103.515,EMAS
14023,21.825,-103.78299999999999,EMAS
14025,21.498,-102.586,EMAS
14026,22.059,-103.36200000000001,EMAS
14029,19.977999999999998,-103.26100000000001,EMAS
14034,19.753,-103.181,EMAS
14036,19.451,-104.359,EMAS
14038,21.052,-103.439,EMAS
14039,20.928,-103.023,EMAS
14040,20.29,-103.189,EMAS
14044,20.31,-105.05,EMAS
14047,20.331,-102.76299999999999,EMAS
14052,19.897000000000002,-103.787,EMAS
14053,22.609,-103.948,EMAS
14054,21.625999999999998,-101.96600000000001,EMAS
14056,20.51,-103.85700000000001,EMAS
14066,20.676,-103.346,EMAS
14067,19.994,-105.163,EMAS
14068,21.058000000000003,-104.051,EMAS
14070,20.480999999999998,-102.249,EMAS
14072,20.426,-103.242,EMAS
14078,20.083,-104.098,EMAS
14080,21.006999999999998,-102.823,EMAS
14081,20.729,-105.20700000000001,EMAS
14084,21.36,-101.921,EMAS
14087,20.72,-102.81299999999999,EMAS
14089,20.592,-103.85799999999999,EMAS
14090,20.581999999999997,-102.74600000000001,EMAS
14093,20.906,-103.98,EMAS
14096,20.525,-104.786,EMAS
14100,21.265,-102.777,EMAS
14101,21.54,-102.59700000000001,EMAS
14113,20.439,-103.633,EMAS
14114,21.224,-101.82,EMAS
14118,19.525,-103.43299999999999,EMAS
14122,21.631999999999998,-102.391,EMAS
